Tournament,Date,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Croatia Open,2004-07-20,Clay,1st Round,3,Djokovic N.,Volandri F.,Volandri F.,368,65,-1,-1,5.5,1.12,6-7 1-6
Open Romania,2004-09-14,Clay,1st Round,3,Clement A.,Djokovic N.,Djokovic N.,67,272,-1,-1,1.53,2.35,6-2 4-6 4-6
Open Romania,2004-09-16,Clay,2nd Round,3,Ferrer D.,Djokovic N.,Ferrer D.,54,272,-1,-1,1.28,3.5,4-6 6-4 6-4
Thailand Open,2004-09-28,Hard,1st Round,3,van Scheppingen D.,Djokovic N.,van Scheppingen D.,81,248,-1,-1,1.61,2.2,4-6 7-5 6-4
Open de Moselle,2004-10-14,Hard,2nd Round,3,Patience O.,Monfils G.,Monfils G.,116,368,-1,-1,1.61,2.2,4-6 4-6
Open de Moselle,2004-10-15,Hard,Quarterfinals,3,Monfils G.,Gasquet R.,Gasquet R.,368,151,-1,-1,2.5,1.5,5-7 1-6
BNP Paribas,2004-11-01,Carpet,1st Round,3,Monfils G.,Enqvist T.,Monfils G.,284,75,-1,-1,2.5,1.5,1-6 6-4 6-3
BNP Paribas,2004-11-02,Carpet,2nd Round,3,Monfils G.,Hewitt L.,Hewitt L.,284,3,-1,-1,6.5,1.1,3-6 6-7
Qatar Exxon Mobil Open,2005-01-04,Hard,1st Round,3,Gaudio G.,Monfils G.,Monfils G.,10,239,-1,-1,1.533,2.375,4-6 6-7
Qatar Exxon Mobil Open,2005-01-05,Hard,2nd Round,3,Santoro F.,Monfils G.,Santoro F.,52,239,-1,-1,1.66,2.1,6-2 4-6 7-5
Australian Open,2005-01-17,Hard,1st Round,5,Ginepri R.,Monfils G.,Monfils G.,57,219,-1,-1,1.57,2.25,6-1 3-6 4-6 6-7
Australian Open,2005-01-17,Hard,1st Round,5,Djokovic N.,Safin M.,Safin M.,188,4,-1,-1,7.5,1.07,0-6 2-6 1-6
Australian Open,2005-01-19,Hard,2nd Round,5,Rochus O.,Monfils G.,Rochus O.,53,219,-1,-1,1.66,2.1,6-1 6-3 6-3
Internazionali di Lombardia,2005-01-31,Carpet,1st Round,3,Benneteau J.,Monfils G.,Monfils G.,61,192,-1,-1,2.25,1.57,3-6 3-6
Internazionali di Lombardia,2005-02-03,Carpet,2nd Round,3,Soderling R.,Monfils G.,Soderling R.,37,192,-1,-1,1.66,2.1,6-3 6-4
Open 13,2005-02-09,Hard,1st Round,3,Andreev I.,Monfils G.,Andreev I.,49,181,-1,-1,2.25,1.57,6-3 6-2
Pacific Life Open,2005-03-11,Hard,1st Round,3,Morrison J.,Monfils G.,Monfils G.,108,140,-1,-1,2.62,1.44,5-7 4-6
Pacific Life Open,2005-03-12,Hard,2nd Round,3,Monfils G.,Robredo T.,Robredo T.,140,12,-1,-1,2.5,1.5,3-6 1-6
NASDAQ-100 Open,2005-03-24,Hard,1st Round,3,Monfils G.,Llodra M.,Monfils G.,128,50,-1,-1,2.1,1.66,3-6 6-4 6-3
NASDAQ-100 Open,2005-03-25,Hard,2nd Round,3,Davydenko N.,Monfils G.,Monfils G.,15,128,-1,-1,1.44,2.62,6-4 1-6 4-6
NASDAQ-100 Open,2005-03-27,Hard,3rd Round,3,Monfils G.,Lee H.T.,Monfils G.,128,58,-1,-1,1.66,2.1,7-6 3-6 7-6
NASDAQ-100 Open,2005-03-29,Hard,4th Round,3,Hrbaty D.,Monfils G.,Hrbaty D.,28,128,-1,-1,1.39,2.75,6-3 6-3
Open de Tenis Comunidad Valenciana,2005-04-05,Clay,1st Round,3,Dupuis A.,Djokovic N.,Dupuis A.,114,160,-1,-1,3.0,1.33,6-4 7-5
Monte Carlo Masters,2005-04-11,Clay,1st Round,3,Nadal R.,Monfils G.,Nadal R.,17,106,-1,-1,1.1,6.5,6-3 6-2
Open Seat Godo,2005-04-19,Clay,1st Round,3,Calleri A.,Monfils G.,Calleri A.,99,106,-1,-1,1.9,1.8,7-6 7-6
French Open,2005-05-24,Clay,1st Round,5,Canas G.,Monfils G.,Canas G.,10,79,-1,-1,1.25,3.75,6-3 6-1 6-0
French Open,2005-05-24,Clay,1st Round,5,Ginepri R.,Djokovic N.,Djokovic N.,71,153,-1,-1,2.25,1.57,0-6 0-6 3-6
Stella Artois,2005-06-07,Grass,1st Round,3,Monfils G.,Delgado J.,Delgado J.,82,205,-1,-1,1.39,2.75,2-6 4-6
Nottingham Open,2005-06-13,Grass,1st Round,3,Monfils G.,Beck K.,Beck K.,82,45,-1,-1,3.5,1.25,2-6 6-2 3-6
Wimbledon,2005-06-20,Grass,1st Round,5,Okun N.,Monfils G.,Monfils G.,154,83,-1,-1,2.37,1.53,6-3 4-6 4-6 6-7
Wimbledon,2005-06-21,Grass,1st Round,5,Monaco J.,Djokovic N.,Djokovic N.,68,128,-1,-1,4.0,1.22,3-6 6-7 3-6
Wimbledon,2005-06-22,Grass,2nd Round,5,Monfils G.,Hrbaty D.,Monfils G.,83,25,-1,-1,2.5,1.5,6-3 6-3 2-6 7-5
Wimbledon,2005-06-23,Grass,2nd Round,5,Garcia-Lopez G.,Djokovic N.,Djokovic N.,81,128,-1,-1,2.1,1.66,6-3 6-3 6-7 6-7 4-6
Wimbledon,2005-06-24,Grass,3rd Round,5,Monfils G.,Ancic M.,Ancic M.,83,17,-1,-1,5.0,1.14,3-6 3-6 1-6
Wimbledon,2005-06-25,Grass,3rd Round,5,Grosjean S.,Djokovic N.,Grosjean S.,27,128,-1,-1,1.14,5.0,7-5 6-4 5-7 6-4
Swedish Open,2005-07-05,Clay,1st Round,3,Monfils G.,Bjorkman J.,Monfils G.,67,104,576,403,1.39,2.75,6-2 6-2
Mercedes Cup,2005-07-19,Clay,1st Round,3,Starace P.,Monfils G.,Starace P.,95,65,435,585,1.61,2.2,6-2 6-3
Croatia Open,2005-07-26,Clay,1st Round,3,Djokovic N.,Calatrava A.,Djokovic N.,97,163,417,259,1.36,2.87,6-3 6-4
Croatia Open,2005-07-27,Clay,2nd Round,3,Ferrero J.C.,Djokovic N.,Ferrero J.C.,28,97,1170,417,1.14,5.0,6-4 6-2
Idea Prokom Open,2005-08-02,Clay,1st Round,3,Monfils G.,Marin J.A.,Monfils G.,65,166,585,248,1.57,2.25,6-0 6-4
Idea Prokom Open,2005-08-03,Clay,2nd Round,3,Monfils G.,Monaco J.,Monfils G.,65,68,585,556,2.62,1.44,6-4 7-6
Idea Prokom Open,2005-08-05,Clay,Quarterfinals,3,Monfils G.,Hanescu V.,Monfils G.,65,49,585,720,2.62,1.44,6-3 6-3
Idea Prokom Open,2005-08-06,Clay,Semifinals,3,Monfils G.,Starace P.,Monfils G.,65,121,585,370,2.1,1.66,3-6 7-5 6-4
Idea Prokom Open,2005-08-07,Clay,The Final,3,Mayer F.,Monfils G.,Monfils G.,95,65,434,585,1.57,2.25,6-7 6-4 5-7
Western & Southern Financial Group Masters,2005-08-15,Hard,1st Round,3,Stepanek R.,Monfils G.,Monfils G.,16,46,1415,755,1.83,1.83,3-6 2-6
Western & Southern Financial Group Masters,2005-08-15,Hard,1st Round,3,Djokovic N.,Gonzalez F.,Gonzalez F.,97,18,440,1385,3.5,1.28,6-3 6-7 4-6
Western & Southern Financial Group Masters,2005-08-17,Hard,2nd Round,3,Monfils G.,Beck K.,Monfils G.,46,39,755,912,1.72,2.0,6-1 7-6
Western & Southern Financial Group Masters,2005-08-18,Hard,3rd Round,3,Monfils G.,Youzhny M.,Youzhny M.,46,26,755,1195,1.66,2.1,6-4 1-6 1-6
Pilot Pen Tennis,2005-08-24,Hard,2nd Round,3,Koubek S.,Monfils G.,Koubek S.,86,42,473,825,2.87,1.38,4-6 7-5 7-5
US Open,2005-08-30,Hard,1st Round,5,Djokovic N.,Monfils G.,Djokovic N.,97,43,431,825,2.5,1.5,7-5 4-6 7-5 0-6 7-5
US Open,2005-09-02,Hard,2nd Round,5,Djokovic N.,Ancic M.,Djokovic N.,97,24,431,1230,3.5,1.28,6-3 5-7 7-6 6-3
US Open,2005-09-04,Hard,3rd Round,5,Djokovic N.,Verdasco F.,Verdasco F.,97,48,431,770,2.75,1.39,1-6 6-4 7-6 4-6 4-6
Open Romania,2005-09-13,Clay,1st Round,3,Montanes A.,Monfils G.,Montanes A.,74,46,499,820,3.75,1.22,3-6 6-1 6-4
Campionati Internazionali Di Sicilia,2005-09-27,Clay,1st Round,3,Fognini F.,Elsner D.,Elsner D.,355,339,87,94,1.95,1.65,6-4 3-6 5-7
Campionati Internazionali Di Sicilia,2005-09-27,Clay,1st Round,3,Monfils G.,Martin A.,Martin A.,45,61,820,635,1.72,2.0,6-1 1-6 4-6
Open de Moselle,2005-10-04,Hard,1st Round,3,Monfils G.,Chela J.I.,Monfils G.,45,50,814,755,1.57,2.25,2-6 6-1 7-6
Open de Moselle,2005-10-06,Hard,2nd Round,3,Clement A.,Monfils G.,Monfils G.,68,45,538,814,2.2,1.61,2-6 2-6
Open de Moselle,2005-10-07,Hard,Quarterfinals,3,Gasquet R.,Monfils G.,Monfils G.,12,45,1610,814,1.22,4.0,6-7 2-6
Open de Moselle,2005-10-08,Hard,Semifinals,3,Monfils G.,Hrbaty D.,Monfils G.,45,20,814,1276,2.1,1.66,7-6 1-6 6-2
Open de Moselle,2005-10-09,Hard,The Final,3,Monfils G.,Ljubicic I.,Ljubicic I.,45,16,814,1430,2.62,1.44,6-7 0-6
Madrid Masters,2005-10-18,Hard,1st Round,3,Rochus C.,Monfils G.,Rochus C.,52,37,720,894,3.5,1.28,6-4 6-4
Grand Prix de Lyon,2005-10-24,Carpet,1st Round,3,Djokovic N.,Mello R.,Djokovic N.,88,105,468,398,1.39,2.75,7-6 6-4
Grand Prix de Lyon,2005-10-25,Carpet,1st Round,3,Hernych J.,Monfils G.,Monfils G.,75,36,515,889,3.0,1.33,4-6 7-5 3-6
Grand Prix de Lyon,2005-10-26,Carpet,2nd Round,3,Djokovic N.,Rochus O.,Rochus O.,88,24,468,1160,3.0,1.36,6-7 5-7
Grand Prix de Lyon,2005-10-27,Carpet,2nd Round,3,Monfils G.,Gaudio G.,Monfils G.,36,12,889,1730,1.57,2.25,6-4 6-3
Grand Prix de Lyon,2005-10-28,Carpet,Quarterfinals,3,Gicquel M.,Monfils G.,Monfils G.,141,36,295,889,3.39,1.3,4-6 1-6
Grand Prix de Lyon,2005-10-29,Carpet,Semifinals,3,Grosjean S.,Monfils G.,Monfils G.,31,36,1035,889,1.53,2.37,4-6 5-7
Grand Prix de Lyon,2005-10-30,Carpet,The Final,3,Monfils G.,Roddick A.,Roddick A.,36,3,889,3120,3.5,1.28,3-6 2-6
BNP Paribas,2005-11-01,Carpet,2nd Round,3,Puerta M.,Djokovic N.,Djokovic N.,9,85,1834,488,2.2,1.61,3-6 6-7
BNP Paribas,2005-11-03,Carpet,3rd Round,3,Djokovic N.,Robredo T.,Robredo T.,85,21,488,1370,2.37,1.53,4-6 3-6
Qatar Exxon Mobil Open,2006-01-02,Hard,1st Round,3,Zib T.,Monfils G.,Monfils G.,59,30,611,979,3.2,1.3,5-7 4-6
Qatar Exxon Mobil Open,2006-01-04,Hard,2nd Round,3,Moodie W.,Monfils G.,Monfils G.,63,30,583,979,2.75,1.39,6-7 4-6
Qatar Exxon Mobil Open,2006-01-05,Hard,Quarterfinals,3,Monfils G.,Tursunov D.,Monfils G.,30,60,979,600,1.66,2.1,6-2 7-6
Qatar Exxon Mobil Open,2006-01-06,Hard,Semifinals,3,Volandri F.,Monfils G.,Monfils G.,38,30,836,979,3.25,1.33,3-6 4-6
Qatar Exxon Mobil Open,2006-01-07,Hard,The Final,3,Federer R.,Monfils G.,Federer R.,1,30,6725,979,1.03,10.0,6-3 7-6
Australian Open,2006-01-17,Hard,1st Round,5,Horna L.,Monfils G.,Horna L.,81,27,492,1129,4.5,1.16,6-4 7-5 6-1
Australian Open,2006-01-17,Hard,1st Round,5,Djokovic N.,Goldstein P.,Goldstein P.,76,68,502,567,1.39,2.75,2-6 6-1 3-6 2-6
PBZ Zagreb Indoors,2006-01-30,Carpet,1st Round,3,Djokovic N.,Vik R.,Djokovic N.,81,59,487,605,1.66,2.1,6-1 7-5
PBZ Zagreb Indoors,2006-02-02,Carpet,2nd Round,3,Djokovic N.,Stepanek R.,Djokovic N.,81,21,487,1400,2.75,1.39,6-3 6-4
PBZ Zagreb Indoors,2006-02-03,Carpet,Quarterfinals,3,Djokovic N.,Bozoljac I.,Djokovic N.,81,215,487,173,1.36,3.0,6-2 6-3
PBZ Zagreb Indoors,2006-02-04,Carpet,Semifinals,3,Djokovic N.,Ljubicic I.,Ljubicic I.,81,5,487,2395,5.0,1.14,7-6 3-6 4-6
Copa Telmex,2006-02-14,Clay,1st Round,3,Fognini F.,Moya C.,Moya C.,312,34,102,870,5.5,1.12,7-6 4-6 4-6
Open 13,2006-02-15,Hard,1st Round,3,Monfils G.,Grosjean S.,Grosjean S.,28,23,1099,1295,2.5,1.5,6-2 5-7 3-6
ABN AMRO World Tennis Tournament,2006-02-21,Hard,1st Round,3,Djokovic N.,Seppi A.,Djokovic N.,72,53,548,710,1.5,2.5,6-2 2-6 7-5
ABN AMRO World Tennis Tournament,2006-02-23,Hard,2nd Round,3,Henman T.,Djokovic N.,Djokovic N.,40,72,815,548,1.57,2.25,7-5 3-6 4-6
ABN AMRO World Tennis Tournament,2006-02-24,Hard,Quarterfinals,3,Djokovic N.,Stepanek R.,Stepanek R.,72,23,548,1355,2.37,1.53,5-7 6-4 6-7
Channel Open,2006-02-28,Hard,1st Round,3,Bjorkman J.,Monfils G.,Bjorkman J.,65,29,578,1029,4.5,1.16,7-6 6-3
Pacific Life Open,2006-03-11,Hard,1st Round,3,Benneteau J.,Djokovic N.,Benneteau J.,88,67,459,591,2.37,1.53,6-3 6-4
Pacific Life Open,2006-03-13,Hard,2nd Round,3,Morrison J.,Monfils G.,Monfils G.,139,29,293,1029,2.75,1.44,3-6 6-0 3-6
Pacific Life Open,2006-03-15,Hard,3rd Round,3,Ljubicic I.,Monfils G.,Ljubicic I.,6,29,2245,1029,1.19,4.33,6-3 6-2
NASDAQ-100 Open,2006-03-24,Hard,1st Round,3,Djokovic N.,Mathieu P.H.,Djokovic N.,66,37,596,853,2.0,1.72,6-1 6-3
NASDAQ-100 Open,2006-03-24,Hard,2nd Round,3,Calleri A.,Monfils G.,Calleri A.,65,29,602,1044,1.83,1.83,7-5 6-4
NASDAQ-100 Open,2006-03-25,Hard,2nd Round,3,Coria G.,Djokovic N.,Coria G.,7,66,2025,596,2.1,1.66,7-5 6-1
Monte Carlo Masters,2006-04-17,Clay,1st Round,3,Rochus O.,Monfils G.,Rochus O.,29,32,1005,974,1.66,2.1,4-6 6-4 6-1
Monte Carlo Masters,2006-04-17,Clay,1st Round,3,Djokovic N.,Federer R.,Federer R.,67,1,606,6810,8.5,1.05,3-6 6-2 3-6
Open Seat Godo,2006-04-24,Clay,1st Round,3,Monfils G.,Galvani S.,Monfils G.,31,183,969,214,1.229666666666667,4.36,6-2 7-5
Open Seat Godo,2006-04-24,Clay,1st Round,3,Gimeno-Traver D.,Djokovic N.,Gimeno-Traver D.,178,66,225,614,3.25,1.28,6-4 3-6 6-3
Open Seat Godo,2006-04-25,Clay,2nd Round,3,Almagro N.,Monfils G.,Almagro N.,57,31,669,969,1.44,2.62,6-2 6-4
Estoril Open,2006-05-02,Clay,1st Round,3,Sabau R.,Monfils G.,Monfils G.,99,35,404,894,3.5,1.25,1-6 2-6
Estoril Open,2006-05-02,Clay,1st Round,3,Fognini F.,Safin M.,Safin M.,313,49,104,760,7.0,1.08,1-6 4-6
Estoril Open,2006-05-03,Clay,2nd Round,3,Portas A.,Monfils G.,Portas A.,100,35,399,894,2.62,1.44,3-6 7-6 6-4
Campionati Internazional d'Italia,2006-05-08,Clay,1st Round,3,Haas T.,Monfils G.,Monfils G.,25,35,1270,904,1.39,2.75,2-6 6-3 4-6
Campionati Internazional d'Italia,2006-05-09,Clay,1st Round,3,Johansson T.,Fognini F.,Johansson T.,14,294,1460,113,2.25,1.57,7-6 6-3
Campionati Internazional d'Italia,2006-05-10,Clay,2nd Round,3,Monfils G.,Ginepri R.,Monfils G.,35,17,904,1450,1.39,2.75,6-1 4-6 6-4
Campionati Internazional d'Italia,2006-05-11,Clay,3rd Round,3,Santoro F.,Monfils G.,Monfils G.,53,35,722,904,1.9,1.8,6-7 2-6
Campionati Internazional d'Italia,2006-05-12,Clay,Quarterfinals,3,Monfils G.,Roddick A.,Monfils G.,35,5,904,2515,2.75,1.39,6-2 6-3
Campionati Internazional d'Italia,2006-05-13,Clay,Semifinals,3,Nadal R.,Monfils G.,Nadal R.,2,35,4135,904,1.03,12.0,6-2 6-2
Hamburg TMS,2006-05-15,Clay,1st Round,3,Coria G.,Djokovic N.,Djokovic N.,21,71,1345,577,2.0,1.72,3-6 6-3 3-6
Hamburg TMS,2006-05-16,Clay,1st Round,3,Monfils G.,Murray A.,Murray A.,29,46,1110,797,1.36,3.0,4-6 1-6
Hamburg TMS,2006-05-17,Clay,2nd Round,3,Verdasco F.,Djokovic N.,Verdasco F.,34,71,895,577,1.72,2.0,6-4 6-3
French Open,2006-05-30,Clay,1st Round,5,Monfils G.,Murray A.,Monfils G.,28,45,1100,817,1.57,2.25,6-4 6-7 1-6 6-2 6-1
French Open,2006-06-01,Clay,2nd Round,5,Gonzalez F.,Djokovic N.,Djokovic N.,9,63,1780,627,1.22,4.0,4-6 1-6 6-3 6-4 1-6
French Open,2006-06-01,Clay,2nd Round,5,Monfils G.,Norman D.,Monfils G.,28,110,1100,396,1.16,4.5,4-6 6-3 6-7 6-0 7-5
French Open,2006-06-03,Clay,3rd Round,5,Djokovic N.,Haas T.,Djokovic N.,63,25,627,1250,1.61,2.2,7-5 6-1 7-6
French Open,2006-06-04,Clay,3rd Round,5,Monfils G.,Blake J.,Monfils G.,28,8,1100,1925,3.25,1.33,6-2 6-7 7-6 5-7 6-4
French Open,2006-06-05,Clay,4th Round,5,Monfils G.,Djokovic N.,Djokovic N.,28,63,1100,627,2.25,1.57,6-7 6-7 3-6
Stella Artois,2006-06-12,Grass,1st Round,3,Melzer J.,Monfils G.,Monfils G.,79,23,505,1245,1.9,1.8,6-7 6-7
Stella Artois,2006-06-14,Grass,2nd Round,3,Monfils G.,Reynolds B.,Monfils G.,23,110,1245,392,1.36,3.0,6-1 6-2
Stella Artois,2006-06-15,Grass,3rd Round,3,Monfils G.,Ljubicic I.,Monfils G.,23,4,1245,3055,2.75,1.39,7-6 7-5
Ordina Open,2006-06-18,Grass,1st Round,3,Waske A.,Djokovic N.,Djokovic N.,89,40,455,827,2.37,1.53,7-6 6-7 6-7
Ordina Open,2006-06-21,Grass,2nd Round,3,Djokovic N.,Hernych J.,Hernych J.,40,128,827,333,1.39,2.75,2-6 4-6
Wimbledon,2006-06-27,Grass,1st Round,5,Monfils G.,Kunitsyn I.,Kunitsyn I.,23,105,1285,406,1.16,4.5,7-5 6-7 3-6 4-6
Wimbledon,2006-06-27,Grass,1st Round,5,Goldstein P.,Djokovic N.,Djokovic N.,65,39,611,841,2.75,1.39,3-6 2-6 6-7
Wimbledon,2006-06-29,Grass,2nd Round,5,Robredo T.,Djokovic N.,Djokovic N.,8,39,1920,841,2.0,1.72,6-7 2-6 4-6
Wimbledon,2006-06-30,Grass,3rd Round,5,Djokovic N.,Youzhny M.,Djokovic N.,39,41,841,830,1.44,2.62,4-6 6-2 6-3 6-3
Wimbledon,2006-07-03,Grass,4th Round,5,Djokovic N.,Ancic M.,Ancic M.,39,10,841,1885,3.0,1.36,4-6 6-4 6-4 5-7 3-6
Dutch Open,2006-07-17,Clay,1st Round,3,Djokovic N.,Pashanski B.,Djokovic N.,36,73,901,537,1.16,4.5,6-0 6-3
Dutch Open,2006-07-18,Clay,1st Round,3,Guzman J.P.,Fognini F.,Fognini F.,381,274,80,134,1.9,1.8,3-6 6-1 5-7
Dutch Open,2006-07-19,Clay,2nd Round,3,Moya C.,Fognini F.,Moya C.,41,274,830,134,1.14,5.0,7-5 6-3
Dutch Open,2006-07-20,Clay,2nd Round,3,Djokovic N.,Zib T.,Djokovic N.,36,127,901,355,1.1,6.5,6-4 6-2
Dutch Open,2006-07-21,Clay,Quarterfinals,3,Djokovic N.,Gicquel M.,Djokovic N.,36,87,901,481,1.11,6.0,6-3 6-4
Dutch Open,2006-07-23,Clay,The Final,3,Djokovic N.,Massu N.,Djokovic N.,36,37,901,890,1.61,2.2,7-6 6-4
Croatia Open,2006-07-25,Clay,1st Round,3,Djokovic N.,Belic L.,Djokovic N.,28,1543,1071,1,1.03,10.0,6-3 6-3
Croatia Open,2006-07-27,Clay,2nd Round,3,Ianni S.,Djokovic N.,Djokovic N.,559,28,43,1071,12.0,1.02,3-6 4-6
Croatia Open,2006-07-29,Clay,Quarterfinals,3,Djokovic N.,Vanek J.,Djokovic N.,28,110,1071,389,1.1,6.5,6-1 3-6 7-5
Croatia Open,2006-07-29,Clay,Semifinals,3,Djokovic N.,Moya C.,Djokovic N.,28,42,1071,830,1.66,2.1,6-1 7-5
Western & Southern Financial Group Masters,2006-08-15,Hard,1st Round,3,Monfils G.,Safin M.,Monfils G.,29,74,1040,520,3.25,1.33,6-4 7-5
Western & Southern Financial Group Masters,2006-08-15,Hard,1st Round,3,Djokovic N.,Nieminen J.,Djokovic N.,24,15,1168,1680,1.72,2.0,7-6 6-4
Western & Southern Financial Group Masters,2006-08-16,Hard,2nd Round,3,Monfils G.,Baghdatis M.,Baghdatis M.,29,10,1040,1852,2.25,1.57,6-7 6-2 1-6
Western & Southern Financial Group Masters,2006-08-16,Hard,2nd Round,3,Serra F.,Djokovic N.,Serra F.,52,24,755,1168,3.5,1.28,6-4 6-4
Pilot Pen Tennis,2006-08-22,Hard,2nd Round,3,Gicquel M.,Monfils G.,Monfils G.,83,31,494,1000,3.25,1.33,6-7 4-6
Pilot Pen Tennis,2006-08-23,Hard,3rd Round,3,Rochus O.,Monfils G.,Rochus O.,30,31,1010,1000,1.9,1.8,6-4 6-3
US Open,2006-08-28,Hard,1st Round,5,Djokovic N.,Young D.,Djokovic N.,23,577,1183,40,1.03,11.0,4-6 6-3 6-0 6-1
US Open,2006-08-30,Hard,1st Round,5,Russell M.,Monfils G.,Monfils G.,160,31,259,1005,4.0,1.19,2-6 6-3 5-7 6-7
US Open,2006-08-31,Hard,2nd Round,5,Monfils G.,Moodie W.,Moodie W.,31,82,1005,495,1.44,2.62,4-6 6-2 2-6 6-7
US Open,2006-08-31,Hard,2nd Round,5,Djokovic N.,Fish M.,Djokovic N.,23,60,1183,651,1.53,2.37,7-6 6-4 3-6 7-6
US Open,2006-09-03,Hard,3rd Round,5,Djokovic N.,Hewitt L.,Hewitt L.,23,17,1183,1515,2.1,1.66,3-6 1-6 2-6
Campionati Internazionali Di Sicilia,2006-09-25,Clay,1st Round,3,Fognini F.,Marin J.A.,Fognini F.,242,156,162,278,2.123333333333333,1.7092500000000002,7-6 6-3
Campionati Internazionali Di Sicilia,2006-09-28,Clay,2nd Round,3,Lapentti N.,Fognini F.,Lapentti N.,84,242,475,162,1.39,2.75,2-6 6-1 7-6
Open de Moselle,2006-10-03,Hard,1st Round,3,Mahut N.,Djokovic N.,Djokovic N.,67,22,591,1183,3.5,1.25,2-6 3-6
Open de Moselle,2006-10-05,Hard,2nd Round,3,Bracciali D.,Djokovic N.,Djokovic N.,66,22,601,1183,4.33,1.19,0-6 3-6
Open de Moselle,2006-10-06,Hard,Quarterfinals,3,Clemens T.,Djokovic N.,Djokovic N.,265,22,149,1183,7.5,1.07,4-6 1-6
Open de Moselle,2006-10-07,Hard,Semifinals,3,Grosjean S.,Djokovic N.,Djokovic N.,35,22,910,1183,2.5,1.5,7-6 6-7 3-6
Open de Moselle,2006-10-08,Hard,The Final,3,Djokovic N.,Melzer J.,Djokovic N.,22,48,1183,755,1.33,3.25,4-6 6-3 6-2
BA-CA Tennis Trophy,2006-10-11,Hard,1st Round,3,Djokovic N.,Zib T.,Djokovic N.,16,146,1350,310,1.08,6.5,6-3 6-4
BA-CA Tennis Trophy,2006-10-12,Hard,2nd Round,3,Wawrinka S.,Djokovic N.,Wawrinka S.,44,16,803,1350,3.0,1.36,6-3 6-3
Madrid Masters,2006-10-18,Hard,2nd Round,3,Gasquet R.,Djokovic N.,Djokovic N.,27,17,1045,1360,1.57,2.25,6-7 6-1 1-6
Madrid Masters,2006-10-19,Hard,3rd Round,3,Djokovic N.,Murray A.,Djokovic N.,17,19,1360,1295,2.1,1.66,1-6 7-5 6-3
Madrid Masters,2006-10-20,Hard,Quarterfinals,3,Gonzalez F.,Djokovic N.,Gonzalez F.,10,17,1965,1360,2.1,1.66,7-5 5-7 7-5
BNP Paribas,2006-10-31,Carpet,1st Round,3,Monfils G.,Andreev I.,Andreev I.,46,100,790,415,1.3,3.39,5-7 4-6
BNP Paribas,2006-11-01,Carpet,2nd Round,3,Mathieu P.H.,Djokovic N.,Mathieu P.H.,54,16,723,1465,3.39,1.3,7-6 7-6
Next Generation Adelaide International,2007-01-02,Hard,Round Robin,3,Djokovic N.,Hajek J.,Djokovic N.,16,76,1380,509,1.08,6.5,6-0 6-1
Next Generation Adelaide International,2007-01-03,Hard,Round Robin,3,Jones A.,Djokovic N.,Djokovic N.,200,16,194,1380,6.5,1.08,1-6 2-6
Next Generation Adelaide International,2007-01-05,Hard,Quarterfinals,3,Goldstein P.,Djokovic N.,Djokovic N.,70,16,526,1380,4.5,1.16,4-6 5-7
Next Generation Adelaide International,2007-01-06,Hard,Semifinals,3,Djokovic N.,Johansson J.,Djokovic N.,16,193,1380,202,1.57,2.25,6-3 6-2
Next Generation Adelaide International,2007-01-07,Hard,The Final,3,Guccione C.,Djokovic N.,Djokovic N.,153,16,287,1380,4.0,1.22,3-6 7-6 4-6
Qatar Exxon Mobil Open,2007-01-01,Hard,1st Round,3,Monfils G.,Seppi A.,Monfils G.,46,74,795,513,1.4,2.75,6-3 6-4
Qatar Exxon Mobil Open,2007-01-03,Hard,2nd Round,3,Youzhny M.,Monfils G.,Youzhny M.,24,46,1075,795,1.57,2.25,6-4 6-2
Heineken Open,2007-01-08,Hard,1st Round,3,Monfils G.,Martin A.,Martin A.,59,60,645,641,1.19,4.0,4-6 4-6
Australian Open,2007-01-15,Hard,1st Round,5,Monfils G.,Bracciali D.,Monfils G.,59,66,645,560,1.33,3.25,7-6 6-7 6-4 7-6
Australian Open,2007-01-15,Hard,1st Round,5,Massu N.,Djokovic N.,Djokovic N.,43,15,825,1530,4.0,1.22,1-6 1-6 0-6
Australian Open,2007-01-17,Hard,2nd Round,5,Lopez F.,Djokovic N.,Djokovic N.,79,15,486,1530,5.0,1.14,2-6 5-7 1-6
Australian Open,2007-01-17,Hard,2nd Round,5,Baghdatis M.,Monfils G.,Monfils G.,11,59,1880,645,1.33,3.25,6-7 2-6 6-2 0-6
Australian Open,2007-01-19,Hard,3rd Round,5,Udomchoke D.,Djokovic N.,Djokovic N.,102,15,417,1530,8.0,1.06,3-6 4-6 7-5 1-6
Australian Open,2007-01-19,Hard,3rd Round,5,Gasquet R.,Monfils G.,Gasquet R.,17,59,1435,645,1.33,3.25,6-0 4-6 7-5 6-3
Australian Open,2007-01-21,Hard,4th Round,5,Djokovic N.,Federer R.,Federer R.,15,1,1530,8120,9.0,1.05,2-6 5-7 3-6
Open 13,2007-02-12,Hard,1st Round,3,Djokovic N.,Youzhny M.,Youzhny M.,14,22,1625,1180,1.5,2.5,4-6 6-4 6-7
Open 13,2007-02-13,Hard,1st Round,3,Gicquel M.,Monfils G.,Gicquel M.,46,52,777,715,2.25,1.57,4-6 7-6 7-5
